"PLAYER","TEAM","INNINGS","NOT OUT","RUNS","HS","AVERAGE","BALL FACED","STRIKE RATE","100'S","50'S","4'S","6'S"
"Alex Hales","Sydney Thunder","15","1","537","110","38.357142857143","336","159.82142857143","1","3","54","30"
"James Vince","Sydney Sixers","16","2","536","98*","38.285714285714","374","143.31550802139","0","4","59","11"
"Josh Phillippe","Sydney Sixers","16","0","504","95","31.5","340","148.23529411765","0","3","55","14"
"Chris Lynn","Brisbane Heat","13","0","456","69","35.076923076923","296","154.05405405405","0","5","39","26"
"Colin Munro","Perth Scorchers","15","1","443","82","31.642857142857","346","128.03468208092","0","4","32","19"
"Jake Weatherald","Adelaide Strikers","15","3","433","80*","36.083333333333","307","141.04234527687","0","3","37","22"
"Liam Livingstone","Perth Scorchers","14","0","426","77","30.428571428571","318","133.96226415094","0","3","26","26"
"Alex Carey","Adelaide Strikers","13","0","425","101","32.692307692308","348","122.12643678161","1","2","43","10"
"Josh Inglis","Perth Scorchers","16","4","413","72*","79","254","162.59842519685","0","3","40","9"
"Callum Ferguson","Sydney Thunder","15","2","405","61*","31.153846153846","327","123.85321100917","0","3","39","6"
"Ben McDermott","Hobart Hurricanes","12","1","402","96","36.545454545455","288","139.58333333333","0","3","28","21"
"Marcus Stoinis","Melbourne Stars","13","1","396","97","33","279","141.93548387097","0","2","40","17"
"Jordan Silk","Sydney Sixers","14","4","382","78","38.2","261","146.3601532567","0","1","41","5"
"Glenn Maxwell","Melbourne Stars","13","1","379","71*","31.583333333333","266","142.48120300752","0","2","32","17"
"Jason Roy","Perth Scorchers","12","1","355","74*","32.272727272727","263","134.98098859316","0","2","43","7"
"Sam Harper","Melbourne Renegades","14","1","351","66*","27","283","124.02826855124","0","3","26","10"
"Usman Khawaja","Sydney Thunder","15","0","338","49","22.533333333333","265","127.54716981132","0","0","45","3"
"Jimmy Peirson","Brisbane Heat","16","9","334","69*","47.714285714286","256","130.46875","0","1","19","7"
"Daniel Hughes","Sydney Sixers","16","3","331","96","25.461538461538","254","130.31496062992","0","2","24","11"
"Mitchell Marsh","Perth Scorchers","14","6","315","57*","39.375","213","147.88732394366","0","3","27","13"
"Shaun Marsh","Melbourne Renegades","12","0","312","87","26","246","126.82926829268","0","3","23","10"
"Philip Salt","Adelaide Strikers","15","0","310","59","20.666666666667","238","130.25210084034","0","2","29","9"
"Max Bryant","Brisbane Heat","14","0","302","40","21.571428571429","237","127.42616033755","0","0","34","8"
"Ben Cutting","Sydney Thunder","13","6","280","33","40","179","156.42458100559","0","0","26","16"
"Tim David","Hobart Hurricanes","14","5","277","58","30.777777777778","182","152.1978021978","0","1","19","14"
"Nick Larkin","Melbourne Stars","10","3","276","70","39.428571428571","218","126.60550458716","0","2","32","5"
"Daniel Christian","Sydney Sixers","14","6","272","61*","34","149","182.55033557047","0","2","21","18"
"Dawid Malan","Hobart Hurricanes","10","0","265","75","26.5","236","112.28813559322","0","0","23","6"
"Jonathan Wells","Adelaide Strikers","13","3","263","66","26.3","247","106.47773279352","0","1","23","2"
"Colin Ingram","Hobart Hurricanes","10","0","258","55","25.8","203","127.09359605911","0","1","25","9"
"Sam Billings","Sydney Thunder","9","1","254","83","31.75","179","141.89944134078","0","2","20","9"
"D Arcy Short","Hobart Hurricanes","14","0","246","72","17.571428571429","287","85.714285714286","0","3","39","8"
"Hilton Cartwright","Melbourne Stars","13","5","239","46*","29.875","166","143.97590361446","0","0","11","15"
"Ashton Turner","Perth Scorchers","13","3","228","39","22.8","150","152","0","0","19","10"
"Joe Denly","Brisbane Heat","12","0","223","50","18.583333333333","208","107.21153846154","0","1","17","5"
"Peter Handscomb","Hobart Hurricanes","13","2","208","30","18.909090909091","167","124.55089820359","0","0","19","5"
"Matt Renshaw","Adelaide Strikers","14","1","207","35","15.923076923077","193","107.25388601036","0","0","15","5"
"Andre Fletcher","Melbourne Stars","12","2","206","89*","20.6","157","131.2101910828","0","1","22","9"
"Daniel Sams","Sydney Thunder","8","3","200","65*","40","106","188.67924528302","0","2","11","14"
"Mackenzie Harvey","Melbourne Renegades","9","2","198","47*","28.285714285714","146","135.61643835616","0","0","16","9"
"Sam Heazlett","Brisbane Heat","9","1","180","74*","22.5","133","135.33834586466","0","1","14","9"
"Joe Burns","Brisbane Heat","11","3","180","52","22.5","144","125","0","1","18","5"
"Aaron Finch","Melbourne Renegades","13","0","179","39","13.769230769231","158","113.29113924051","0","0","20","3"
"Marnus Labuschagne","Brisbane Heat","6","0","176","49","29.333333333333","143","123.07692307692","0","0","13","3"
"Lewis Gregory","Brisbane Heat","12","3","173","36","19.222222222222","130","133.07692307692","0","0","13","8"
"Jack Edwards","Sydney Sixers","9","0","164","47","18.222222222222","152","107.89473684211","0","0","19","1"
"Beau Webster","Melbourne Renegades","10","3","160","54*","22.857142857143","128","125","0","2","13","4"
"Cameron Bancroft","Perth Scorchers","7","3","156","58*","39","120","130","0","1","12","2"
"Moises Henriques","Sydney Sixers","4","0","155","56","38.75","100","155","0","1","13","5"
"Mohammad Nabi","Melbourne Renegades","7","1","149","71*","24.833333333333","118","126.27118644068","0","1","12","7"
"Nic Maddinson","Melbourne Stars","6","2","134","48*","33.5","108","124.07407407407","0","0","7","8"
