"PLAYER","TEAM","INNINGS","OVERS","OVERS*","RUNS","WICKETS","BBI","AVERAGE","ECON","SR","4W","5W"
"Jhye Richardson","Perth Scorchers","17","61.3","61.5","463","29","4\24","15.965517241379","7.5284552845528","12.724137931034","2","0"
"Ben Dwarshuis","Sydney Sixers","13","45.3","45.5","403","24","4\13","16.791666666667","8.8571428571429","11.375","1","0"
"Mark Steketee","Brisbane Heat","16","56.2","56.333","522","24","4\33","21.75","9.2663270196865","14.08325","1","0"
"Wes Agar","Adelaide Strikers","15","54.4","54.667","457","22","4\27","20.772727272727","8.3597051237492","14.909181818182","1","0"
"Tanveer Sangha","Sydney Thunder","15","47.3","47.5","394","21","4\14","18.761904761905","8.2947368421053","13.571428571429","1","0"
"Andrew Tye","Perth Scorchers","16","54.1","54.166","433","21","4\20","20.619047619048","7.9939445408559","15.476","1","0"
"Nathan Ellis","Hobart Hurricanes","14","53.5","53.833","446","20","4\34","22.3","8.2848810209351","16.1499","1","0"
"Peter Siddle","Adelaide Strikers","13","43.2","43.333","323","19","5\16","17","7.4539034915653","13.684105263158","0","1"
"Adam Zampa","Melbourne Stars","12","45.1","45.166","332","19","5\17","17.473684210526","7.3506620023912","14.262947368421","0","1"
"Scott Boland","Hobart Hurricanes","14","54.2","54.333","432","17","4\41","25.411764705882","7.9509690243498","19.176352941176","1","0"
"Rashid Khan","Adelaide Strikers","10","39","39","268","16","3\18","16.75","6.8717948717949","14.625","0","0"
"Peter Hatzoglou","Melbourne Renegades","11","43","43","358","16","3\43","22.375","8.3255813953488","16.125","0","0"
"Carlos Brathwaite","Sydney Sixers","16","48","48","385","16","4\18","24.0625","8.0208333333333","18","1","0"
"Riley Meredith","Hobart Hurricanes","13","50.2","50.333","394","16","3\21","24.625","7.8278664097113","18.874875","0","0"
"Jason Behrendorff","Perth Scorchers","16","53","53","373","16","2\17","23.3125","7.0377358490566","19.875","0","0"
"Kane Richardson","Melbourne Renegades","11","40.3","40.5","324","15","3\22","21.6","8","16.2","0","0"
"Nathan McAndrew","Sydney Thunder","13","44","44","329","15","3\41","21.933333333333","7.4772727272727","17.6","0","0"
"Daniel Christian","Sydney Sixers","14","45","45","398","15","3\36","26.533333333333","8.8444444444444","18","0","0"
"Steve Okeefe","Sydney Sixers","14","49","49","340","15","3\15","22.666666666667","6.9387755102041","19.6","0","0"
"Fawad Ahmed","Perth Scorchers","16","56.3","56.5","436","15","3\25","29.066666666667","7.716814159292","22.6","0","0"
"Mujeeb Ur Rahman","Brisbane Heat","8","30","30","188","14","5\15","13.428571428571","6.2666666666667","12.857142857143","0","1"
"Liam Hatcher","Melbourne Stars","9","34.4","34.667","308","13","3\28","23.692307692308","8.8845299564427","16.000153846154","0","0"
"Billy Stanlake","Melbourne Stars","12","38.5","38.833","324","13","3\25","24.923076923077","8.3434192568177","17.922923076923","0","0"
"Chris Green","Sydney Thunder","14","39","39","336","13","4\34","25.846153846154","8.6153846153846","18","1","0"
"Jack Wildermuth","Brisbane Heat","12","42","42","312","13","3\23","24","7.4285714285714","19.384615384615","0","0"
"Xavier Bartlett","Brisbane Heat","15","41","41","327","12","3\24","27.25","7.9756097560976","20.5","0","0"
"Nathan Coulter-Nile","Melbourne Stars","6","21.5","21.833","172","11","4\10","15.636363636364","7.8779828699675","11.908909090909","1","0"
"Daniel Sams","Sydney Thunder","9","31.4","31.667","261","11","2\24","23.727272727273","8.2420185050684","17.272909090909","0","0"
"Danny Briggs","Adelaide Strikers","14","45.5","45.833","340","11","3\20","30.909090909091","7.4182357689874","24.999818181818","0","0"
"Zak Evans","Melbourne Renegades","5","15","15","146","10","5\33","14.6","9.7333333333333","9","0","1"
"Marnus Labuschagne","Brisbane Heat","6","17","17","146","10","3\13","14.6","8.5882352941176","10.2","0","0"
"Daniel Worrall","Adelaide Strikers","10","37.1","37.166","271","10","2\12","27.1","7.2916106118495","22.2996","0","0"
"Imad Wasim","Melbourne Renegades","10","37.1","37.166","266","10","2\13","26.6","7.1570790507453","22.2996","0","0"
"Aaron Hardie","Perth Scorchers","16","44","44","397","10","3\46","39.7","9.0227272727273","26.4","0","0"
"Brendan Doggett","Sydney Thunder","5","18.1","18.1","120","9","4\22","13.333333333333","6.6298342541436","12.066666666667","1","0"
"Mitchell Swepson","Brisbane Heat","6","24","24","162","9","2\20","18","6.75","16","0","0"
"Jake Ball","Sydney Sixers","7","24","24","267","9","3\25","29.666666666667","11.125","16","0","0"
"James Faulkner","Hobart Hurricanes","5","17.4","17.667","132","8","3\21","16.5","7.4715571404313","13.25025","0","0"
"Sandeep Lamichhane","Hobart Hurricanes","8","31","31","234","8","2\24","29.25","7.5483870967742","23.25","0","0"
"D Arcy Short","Hobart Hurricanes","14","32","32","254","8","3\18","31.75","7.9375","24","0","0"
"Sean Abbott","Sydney Sixers","4","14","14","131","7","2\28","18.714285714286","9.3571428571429","12","0","0"
"Lewis Gregory","Brisbane Heat","11","27","27","275","7","3\22","39.285714285714","10.185185185185","23.142857142857","0","0"
"Glenn Maxwell","Melbourne Stars","12","28.5","28.833","221","7","2\12","31.571428571429","7.6648284951271","24.714","0","0"
"Jackson Bird","Sydney Sixers","9","29","29","215","7","2\14","30.714285714286","7.4137931034483","24.857142857143","0","0"
"Josh Lalor","Melbourne Renegades","7","26","26","274","6","3\30","45.666666666667","10.538461538462","26","0","0"
"Zahir Khan","Melbourne Stars","8","29","29","201","6","2\19","33.5","6.9310344827586","29","0","0"
"Liam Livingstone","Perth Scorchers","6","10","10","85","5","1\9","17","8.5","12","0","0"
"Sam Rainbird","Melbourne Stars","5","18","18","149","5","2\22","29.8","8.2777777777778","21.6","0","0"
"Morne Morkel","Brisbane Heat","6","21","21","176","5","2\24","35.2","8.3809523809524","25.2","0","0"
"Jack Prestwidge","Melbourne Renegades","8","22","22","171","5","2\20","34.2","7.7727272727273","26.4","0","0"
"Ben Manenti","Sydney Sixers","8","22","22","159","5","2\23","31.8","7.2272727272727","26.4","0","0"
"Adam Milne","Sydney Thunder","12","44","44","333","5","2\21","66.6","7.5681818181818","52.8","0","0"
"Nic Maddinson","Melbourne Stars","5","8","8","60","4","2\8","15","7.5","12","0","0"
"Mitchell Marsh","Perth Scorchers","5","11.3","11.5","75","4","2\14","18.75","6.5217391304348","17.25","0","0"
