,Name,runs,balls,fours,sixes,sr
0,Ruturaj Gaikwad,839.0,635.0,80.0,29.0,132.1259842519685
1,Faf du Plessis,1640.0,1227.0,155.0,58.0,133.65933170334148
2,Robin Uthappa,944.0,758.0,85.0,43.0,124.53825857519789
3,Moeen Ali,666.0,455.0,52.0,42.0,146.37362637362637
4,Shubman Gill,1417.0,1152.0,137.0,36.0,123.00347222222223
5,Venkatesh Iyer,370.0,288.0,37.0,14.0,128.47222222222223
6,Nitish Rana,1383.0,1035.0,130.0,64.0,133.6231884057971
7,Sunil Narine,683.0,406.0,70.0,45.0,168.22660098522167
8,Eoin Morgan,551.0,441.0,40.0,30.0,124.94331065759637
9,Dinesh Karthik,1143.0,814.0,113.0,41.0,140.4176904176904
10,Shakib Al Hasan,295.0,255.0,29.0,6.0,115.68627450980392
11,Rahul Tripathi,994.0,749.0,93.0,31.0,132.71028037383178
12,Lockie Ferguson,61.0,40.0,5.0,2.0,152.5
13,Shivam Mavi,48.0,49.0,4.0,2.0,97.95918367346938
14,Varun Chakravarthy,12.0,19.0,0.0,0.0,63.1578947368421
15,Prithvi Shaw,1305.0,892.0,155.0,45.0,146.30044843049328
16,Shikhar Dhawan,2223.0,1645.0,253.0,53.0,135.13677811550153
17,Marcus Stoinis,751.0,541.0,62.0,31.0,138.81700554528652
18,Shreyas Iyer,1568.0,1288.0,117.0,56.0,121.73913043478261
19,Rishabh Pant,1934.0,1321.0,178.0,83.0,146.40423921271764
20,Shimron Hetmyer,517.0,342.0,34.0,31.0,151.16959064327486
21,Axar Patel,347.0,288.0,21.0,16.0,120.48611111111111
22,Devdutt Padikkal,884.0,707.0,95.0,22.0,125.03536067892503
23,Virat Kohli,1865.0,1432.0,164.0,51.0,130.23743016759778
24,Srikar Bharat,191.0,156.0,10.0,8.0,122.43589743589743
25,Glenn Maxwell,790.0,582.0,71.0,30.0,135.73883161512026
26,AB de Villiers,1689.0,1059.0,126.0,95.0,159.4900849858357
27,Shahbaz Ahmed,60.0,54.0,4.0,2.0,111.11111111111111
28,Dan Christian,14.0,24.0,1.0,0.0,58.333333333333336
29,Harshal Patel,140.0,105.0,9.0,8.0,133.33333333333334
30,George Garton,2.0,4.0,0.0,0.0,50.0
31,Tom Curran,127.0,107.0,10.0,3.0,118.69158878504673
32,Shardul Thakur,46.0,38.0,4.0,1.0,121.05263157894737
33,Ambati Rayudu,1500.0,1157.0,119.0,70.0,129.6456352636128
34,MS Dhoni,1185.0,890.0,74.0,63.0,133.14606741573033
35,Ravindra Jadeja,654.0,453.0,51.0,28.0,144.3708609271523
36,Ripal Patel,25.0,27.0,3.0,0.0,92.5925925925926
37,Rohit Sharma,1404.0,1089.0,137.0,55.0,128.92561983471074
38,Ishan Kishan,1133.0,818.0,87.0,61.0,138.5085574572127
39,Hardik Pandya,1070.0,674.0,73.0,70.0,158.75370919881306
40,Kieron Pollard,925.0,583.0,55.0,67.0,158.66209262435677
41,Suryakumar Yadav,1733.0,1260.0,207.0,47.0,137.53968253968253
42,James Neesham,19.0,20.0,0.0,1.0,95.0
43,Krunal Pandya,663.0,522.0,59.0,26.0,127.01149425287356
44,Nathan Coulter-Nile,29.0,20.0,4.0,0.0,145.0
45,Piyush Chawla,69.0,73.0,5.0,3.0,94.52054794520548
46,Jasprit Bumrah,,,,,
47,Trent Boult,8.0,11.0,0.0,1.0,72.72727272727273
48,Jason Roy,270.0,215.0,30.0,8.0,125.5813953488372
49,Abhishek Sharma,241.0,173.0,17.0,12.0,139.3063583815029
50,Manish Pandey,1345.0,1078.0,112.0,39.0,124.76808905380334
51,Mohammad Nabi,178.0,116.0,16.0,9.0,153.44827586206895
52,Abdul Samad,222.0,152.0,12.0,14.0,146.05263157894737
53,Priyam Garg,205.0,185.0,11.0,7.0,110.8108108108108
54,Jason Holder,151.0,125.0,7.0,9.0,120.8
55,Rashid Khan,211.0,153.0,17.0,12.0,137.90849673202615
56,Wriddhiman Saha,553.0,448.0,61.0,12.0,123.4375
57,Siddarth Kaul,11.0,23.0,1.0,0.0,47.82608695652174
58,Yashasvi Jaiswal,289.0,212.0,34.0,12.0,136.32075471698113
59,Liam Livingstone,112.0,89.0,9.0,6.0,125.84269662921348
60,Sanju Samson,1642.0,1140.0,124.0,75.0,144.03508771929825
61,Shivam Dube,399.0,331.0,24.0,22.0,120.54380664652568
62,Anuj Rawat,0.0,1.0,0.0,0.0,0.0
63,Glenn Phillips,26.0,33.0,1.0,2.0,78.78787878787878
64,Rahul Tewatia,486.0,395.0,31.0,25.0,123.0379746835443
65,Chris Morris,179.0,133.0,8.0,12.0,134.58646616541353
66,Jaydev Unadkat,100.0,83.0,9.0,3.0,120.48192771084338
67,Chetan Sakariya,16.0,25.0,2.0,0.0,64.0
68,Mustafizur Rahman,9.0,17.0,0.0,1.0,52.94117647058823
69,Dwayne Bravo,275.0,181.0,17.0,17.0,151.93370165745856
70,KL Rahul,2548.0,1823.0,221.0,110.0,139.76961053208996
71,Mayank Agarwal,1317.0,913.0,121.0,52.0,144.24972617743703
