,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
0,Shakib Al Hasan,96.5,0,769,20,177
1,Shivam Mavi,86.1,2,715,25,218
2,Lockie Ferguson,79.5,1,648,24,197
3,Varun Chakravarthy,123.0,0,839,36,268
4,Sunil Narine,258.2,1,1889,58,564
5,Venkatesh Iyer,8.3,0,69,3,14
6,Deepak Chahar,215.4,6,1681,59,570
7,Josh Hazlewood,45.0,0,357,12,118
8,Shardul Thakur,206.2,2,1829,66,472
9,Dwayne Bravo,148.4,1,1306,45,272
10,Ravindra Jadeja,217.8,2,1659,50,430
11,Anrich Nortje,90.80000000000001,1,699,34,244
12,Ravichandran Ashwin,200.4,0,1532,45,373
13,Avesh Khan,91.0,0,749,29,226
14,Axar Patel,222.0,0,1577,52,436
15,Kagiso Rabada,188.8,2,1560,76,456
16,Mohammed Siraj,170.8,4,1437,50,433
17,George Garton,15.0,0,135,3,32
18,Harshal Patel,100.5,0,880,47,204
19,Yuzvendra Chahal,252.6,3,1861,83,589
20,Glenn Maxwell,72.0,0,561,18,133
21,Dan Christian,16.4,0,155,4,29
22,Moeen Ali,68.3,0,469,16,148
23,Tom Curran,39.00000000000001,0,430,13,59
24,Ripal Patel,3.0,0,22,0,5
25,Mohammad Nabi,56.7,0,408,13,134
26,Siddarth Kaul,161.6,1,1400,52,331
27,Jason Holder,59.5,0,480,30,133
28,Umran Malik,12.0,0,96,2,31
29,Rashid Khan,302.0,4,1912,93,760
30,Abhishek Sharma,22.0,0,176,7,37
31,Trent Boult,202.5,5,1708,66,515
32,Jasprit Bumrah,289.59999999999997,5,2035,104,749
33,Piyush Chawla,137.9,0,1219,37,273
34,Nathan Coulter-Nile,74.2,0,561,27,196
35,James Neesham,24.0,0,214,7,47
36,Krunal Pandya,209.29999999999998,0,1537,45,424
37,Jaydev Unadkat,177.9,3,1602,53,368
38,Chris Morris,150.4,1,1275,54,353
39,Chetan Sakariya,52.0,1,426,14,113
40,Mustafizur Rahman,80.4,0,700,21,175
41,Shivam Dube,15.4,0,130,4,24
42,Rahul Tewatia,120.2,0,930,29,230
43,Glenn Phillips,2.0,0,20,1,4
44,Mohammed Shami,199.3,1,1711,66,489
45,Harpreet Brar,32.0,1,228,5,69
46,Arshdeep Singh,75.3,1,669,30,164
47,Chris Jordan,48.3,0,440,14,103
