Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Dutt,9,77.3,426,10,5.50,42.60,46.50,0,0,3/44,46,10,266
A Zampa,11,96.0,515,23,5.36,22.39,25.04,3,0,4/8,33,14,261
AAP Atkinson,3,24.0,146,4,6.08,36.50,36.00,0,0,2/45,13,7,81
AD Mathews,5,22.1,107,6,4.83,17.83,22.17,0,0,2/14,11,0,69
Agha Salman,2,5.0,46,0,9.20,0,0,0,0,0/21,5,2,10
AK Markram,4,18.3,85,1,4.59,85.00,111.00,0,0,1/23,6,3,63
AL Phehlukwayo,1,7.0,36,1,5.14,36.00,42.00,0,0,1/36,4,0,20
AU Rashid,9,79.4,413,15,5.18,27.53,31.87,0,0,3/42,24,11,221
Azmatullah Omarzai,9,38.0,270,7,7.11,38.57,32.57,0,0,2/52,29,9,110
BFW de Leede,8,67.0,487,16,7.27,30.44,25.12,1,0,4/62,52,14,183
C Green,1,2.0,11,0,5.50,0,0,0,0,0/11,2,0,7
C Karunaratne,2,12.0,73,0,6.08,0,0,0,0,0/15,2,2,34
CAK Rajitha,6,49.0,336,8,6.86,42.00,36.75,1,0,4/50,34,11,150
CBRLS Kumara,2,11.0,82,3,7.45,27.33,22.00,0,0,3/35,9,3,33
CN Ackermann,9,47.2,234,5,4.94,46.80,56.80,0,0,2/39,12,8,140
CR Woakes,8,55.0,298,10,5.42,29.80,33.00,1,0,4/54,36,4,198
D Madushanka,9,78.2,525,21,6.70,25.00,22.38,1,1,5/80,64,8,242
DJ Mitchell,2,1.3,12,0,8.00,0,0,0,0,0/1,0,1,3
DJ Willey,6,51.0,259,11,5.08,23.55,27.82,0,0,3/45,30,5,185
DM de Silva,8,25.0,174,0,6.96,0,0,0,0,0/10,15,6,62
DN Wellalage,3,29.2,196,2,6.68,98.00,88.00,0,0,1/53,20,6,80
Fazalhaq Farooqi,6,40.0,228,6,5.70,38.00,40.00,1,0,4/34,30,5,147
G Coetzee,8,63.3,396,20,6.24,19.80,19.05,1,0,4/44,47,11,214
GD Phillips,10,40.0,233,6,5.82,38.83,40.00,0,0,3/37,11,9,98
GJ Maxwell,8,68.3,330,6,4.82,55.00,68.50,0,0,2/34,22,5,196
Haris Rauf,9,79.0,533,16,6.75,33.31,29.62,0,0,3/43,50,16,227
Hasan Ali,6,51.0,321,9,6.29,35.67,34.00,1,0,4/71,37,11,181
Hasan Mahmud,2,14.0,132,3,9.43,44.00,28.00,0,0,2/67,8,9,34
HH Pandya,4,16.3,113,5,6.85,22.60,19.80,0,0,2/34,19,1,52
